6046096|||||Edward Lear|||||(British, 1812 - 1888)|||||White Crane|||||Lot 160 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: lithograph with contemporary hand coloring Measurements: 20.67 in. (52.50 cm.) (height) by 13.98 in. (35.50 cm.) (width) Description: Grus leucogeranus Condition: mounted, framed and glazed
6046097|||||Edward Lear|||||(British, 1812 - 1888)|||||White Stork|||||Lot 162 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  300 - 500 GBP|||||Materials: lithograph with contemporary hand coloring Measurements: 20.67 in. (52.50 cm.) (height) by 13.98 in. (35.50 cm.) (width) Description: Ciconia alba Condition: mounted, framed and glazed
6046098|||||Edward Lear|||||(British, 1812 - 1888)|||||Little Owl. Strix nudipes (Nilsson), Noctua nudipes (Mihi)|||||Lot 163 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: lithograph with contemporary hand coloring Measurements: 16.54 in. (42.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Condition: very slight spotting, mounted, framed and glazed
6046099|||||Edward Lear|||||(British, 1812 - 1888)|||||Tengmalm's Owl. Strix Tengmalmi (Gmel), Noctua Tengmalmi (Selb.)|||||Lot 164 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: lithograph with contemporary hand coloring Measurements: 16.54 in. (42.00 cm.) (height) by 11.81 in. (30.00 cm.) (width) Condition: mounted, framed and glazed
6046100|||||Cecil Aldin|||||(British, 1870 - 1935)|||||That's Bully|||||Lot 179 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: chromolithograph Measurements: 19.69 in. (50.00 cm.) (height) by 15.55 in. (39.50 cm.) (width) Size Notes: overall: 890 x 620 mm Markings: with an embossed title and a collar and chain on frame Condition: resented in a carved oak frame in the shape of a kennel
6046101|||||Francesco Bartolozzi|||||(Italian, 1727 - 1815)|||||To his Grace the Duke of Newcastle|||||Lot 180 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: uncolored mixed method engraving Measurements: 20.87 in. (53.00 cm.) (height) by 26.38 in. (67.00 cm.) (width) Description: This Print of the Return from Shooting is by Permission Dedicated by his Graces's most Obliged and Humble Servant, Francis Wheatly, published Joseph Barney Condition: slight staining to margins, framed and glazed
6046102|||||Henry Birch|||||(British, 18/19th C)|||||Labourers|||||Lot 181 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: color mezzotint Measurements: 17.32 in. (44.00 cm.) (height) by 25.79 in. (65.50 cm.) (width) Description: published B B Evans Condition: some dust soiling. mounted, framed and glazed
6046103|||||William John Wainwright|||||(British, 1855 - 1931)|||||Study of a man in a ruff|||||Lot 473 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 9.65 in. (24.50 cm.) (height) by 6.30 in. (16.00 cm.) (width) Markings: signed and dated 1884; printed trade label of the dealer Arthur E Keeley, Birmingham, frame verso Condition: In fine original condition
6046104|||||William John Wainwright|||||(British, 1855 - 1931)|||||Study of a man in a brown cap|||||Lot 474 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 15.35 in. (39.00 cm.) (height) by 10.83 in. (27.50 cm.) (width) Markings: signed with monogram; label of Arthur E Keeley, Birmingham, backboard Condition: In fine condition, in the original early 20th c frame
6046105|||||John Bullen|||||(British, 19th C)|||||Charles Payne, Huntsman to the Pytchley Hunt with his Whips, John Woodcock and Edwd. Kingsbury|||||Lot 183 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: lithograph with contemporary hand coloring Measurements: 22.83 in. (58.00 cm.) (height) by 27.17 in. (69.00 cm.) (width) Condition: arched upper margins, framed in a near contemporary maple frame
6046106|||||After  John Frederick Herring Sr.|||||(British, 1795 - 1865)|||||Extraordinary trotting match against time|||||Lot 191 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: aquatint with contemporary hand coloring Measurements: 22.83 in. (58.00 cm.) (height) by 29.92 in. (76.00 cm.) (width) Description: published R.Ackermann Condition: one marginal closed repaired tear, very slight spotting, framed and glazed in a late 19th century maple frame
6046107|||||George Leslie Hunter|||||(Scottish, 1877 - 1931)|||||Landscape|||||Lot 487 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  500 - 1,000 GBP|||||Materials: watercolor Measurements: 10.04 in. (25.50 cm.) (height) by 14.96 in. (38.00 cm.) (width) Markings: signed Condition: Some extremely light time stains and central white spot where a possibly wormhole has been disguised. Long in the present mount and narrow moulded wood frame. The pigments reasonably fresh and unfaded
6046108|||||Charles Frederick Tunnicliffe|||||(British, 1901 - 1979)|||||Autumn|||||Lot 489 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  250 - 350 GBP|||||Materials: watercolor Measurements: 11.42 in. (29.00 cm.) (height) by 8.66 in. (22.00 cm.) (width) Markings: signed Condition: In brilliant fresh condition a when supplied to the late owner by Heather Newman in the 1980s
6046109|||||Charles Frederick Tunnicliffe|||||(British, 1901 - 1979)|||||Long faced tumbler pigeon|||||Lot 490 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 9.25 in. (23.50 cm.) (height) by 10.63 in. (27.00 cm.) (width) Markings: inscribed with color notes Condition: In the same fine and fresh condition as when supplied to the late owner by Heather Newman in the 1980s
6046110|||||Robert William Smart|||||(British, 19th C)|||||Elephant and Castle, Newington|||||Lot 195 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: aquatint with contemporary hand coloring Measurements: 22.05 in. (56.00 cm.) (height) by 28.74 in. (73.00 cm.) (width) Description: Robert William & Hunt George Condition: trimmed to image on three margins and laid on later paper, slight spotting, framed and glazed
6046111|||||Arthur Anderson Fraser|||||(British, 1861 - 1904)|||||Hemingford meadows|||||Lot 492 - Mellors & Kirk Auctioneers, Nottingham (November 25, 2015)|||||Fine Art (Sale )||||||||||Estimate:  200 - 300 GBP|||||Materials: watercolor Measurements: 10.43 in. (26.50 cm.) (height) by 14.37 in. (36.50 cm.) (width) Markings: signed with monogram and dated 1892, inscribed on an old label relaid Condition: In the same fresh condition and modern frame as when supplied to the late vendor by Heather Newman in the 1990s
6046112|||||Charles Johnson Payne|||||(British, 1884 - 1967)|||||West of Gib and North Across the Bay, Blimey! What a life!|||||Lot 197 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  250 - 350 GBP|||||Materials: color photolithograph Measurements: 19.29 in. (49.00 cm.) (height) by 26.77 in. (68.00 cm.) (width) Size Notes: overall Description: with a black and white remarque to lower right of a ship in rough seas Markings: signed in pencil by artist to lower left with a snaffle bit blindstamp Condition: framed and glazed
6046113|||||Charles Johnson Payne|||||(British, 1884 - 1967)|||||Tally-Ho Back|||||Lot 198 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  250 - 350 GBP|||||Materials: color photolithograph Measurements: 13.58 in. (34.50 cm.) (height) by 20.08 in. (51.00 cm.) (width) Size Notes: overall Description: with black and white remarque to lower right Markings: signed in pencil by artist to lower left with snaffle bit blind stamp; with Rowley Gallery label on verso of frame Condition: mounted, framed and glazed
6046114|||||Charles Johnson Payne|||||(British, 1884 - 1967)|||||That far, far-away Echo|||||Lot 199 - Dominic Winter, South Cerney (November 11, 2015)|||||Printed Books, Maps & Documents, Natural History & Sporting Art (Sale )||||||||||Estimate:  250 - 350 GBP|||||Materials: color lithograph Measurements: 13.78 in. (35.00 cm.) (height) by 18.70 in. (47.50 cm.) (width) Size Notes: overall Description: black and white remarque of a horse looking out from its box Markings: signed by artist in pencil to lower right, snaffle bit blindstamp to lower left Condition: mounted, framed and glazed An early state without the second remarque of a fox
